TAXONOMIC_NAME,FAMILY,Lmax,Linf,K,Kyears,M,Lifespan,GenerationTime,AgeMat,Lmat,LmaxYields,Wmax,MaxN_prot,Repr,Fecundity,Resilience,Main food,Trophic level,QB
Cheilopogon abei,Exocoetidae,22.0,23.2,1.19,0.14,,2.4,0.9,0.6,14.1,14.1,,,,,High; decline threshold,,,times the body weight per year
Cheilopogon arcticeps,Exocoetidae,21.0,22.1,1.25,0.14,,2.3,0.8,0.6,13.5,13.4,,,,,High; decline threshold,,,times the body weight per year
Cheilopogon cyanopterus,Exocoetidae,40.0,29.9,0.86,0.19,1.59,3.3,0.9,0.9,17.7,18.5,,,nonguarders:,,High; decline threshold,mainly animals,3.2+/- s.e. 0.38,times the body weight per year
Cheilopogon furcatus,Exocoetidae,35.0,36.6,0.93,0.16,1.5,3.1,0.9,0.8,21.2,22.7,,,,,High; decline threshold,mainly animals,4+/- s.e. 0.65,times the body weight per year
Cheilopogon heterurus,Exocoetidae,40.0,41.7,0.83,0.18,1.11,3.4,1,0.8,23.8,26,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Cheilopogon intermedius,Exocoetidae,22.0,23.2,1.19,0.14,,2.4,0.9,0.6,14.1,14.1,,,,,High; decline threshold,mainly animals,3.9+/- s.e. 0.64,times the body weight per year
Cheilopogon katoptron,Exocoetidae,18.0,19,1.44,0.12,,2,0.8,0.6,11.8,11.4,,,,,High; decline threshold,,,times the body weight per year
Cheilopogon nigricans,Exocoetidae,28.0,22.2,1.7,0.1,2.84,1.7,0.5,0.5,13.5,14.3,,,nonguarders:,,High; decline threshold,mainly animals,3+/- s.e. 0.08,times the body weight per year
Cheilopogon olgae,Exocoetidae,23.4,24.6,1.13,0.15,,2.5,0.7,0.7,14.8,15,,,,,High; decline threshold,,,times the body weight per year
Cheilopogon pinnatibarbatus pinnatibarbatus,Exocoetidae,40.0,41.7,0.69,0.21,,4.1,1.2,1,23.8,26,,,,,High; decline threshold,,,
Cheilopogon spilonotopterus,Exocoetidae,38.0,39.7,0.72,0.21,,4,1.1,1,22.8,24.7,,,,,High; decline threshold,mainly animals,4+/- s.e. 0.64,times the body weight per year
Cheilopogon spilopterus,Exocoetidae,25.0,26.3,1.06,0.16,,2.7,0.7,0.7,15.7,16.1,,,,,High; decline threshold,mainly animals,4.2+/- s.e. 0.73,times the body weight per year
Cheilopogon suttoni,Exocoetidae,30.0,31.5,0.9,0.17,,3.2,0.9,0.8,18.5,19.4,,,,,High; decline threshold,mainly animals,3.9+/- s.e. 0.64,times the body weight per year
Cheilopogon unicolor,Exocoetidae,38.0,39.7,0.87,0.17,1.4,3.3,0.9,0.8,22.8,24.7,,,,,High; decline threshold,,0,times the body weight per year
Cheiloprion labiatus,Pomacentridae,6.0,6.5,0.91,0.27,,3,1.3,1,4.5,3.7,,,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.57,times the body weight per year
Chelidonichthys kumu,Triglidae,60.0,42.2,0.49,0.3,0.66,5.8,2.1,1.4,24.1,29.1,834.0 g,22.9/143.1,,,High; decline threshold,mainly animals,3.7+/- s.e. 0.57,times the body weight per year
Chelmon marginalis,Chaetodontidae,18.0,19,1.02,0.18,1.88,2.8,1.1,0.8,11.8,11.4,,,,,High; decline threshold,,0,times the body weight per year
Chelmon muelleri,Chaetodontidae,20.5,21.6,0.9,0.19,1.66,3.1,1.2,0.9,13.2,13.1,,,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.37,times the body weight per year
Chelmon rostratus,Chaetodontidae,20.0,21.1,0.92,0.19,1.7,3.1,1.2,0.8,12.9,12.8,161.2 g,4.2/26.2,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.37,times the body weight per year
Chelmonops curiosus,Chaetodontidae,26.0,27.3,0.72,0.23,1.11,3.9,1.1,1,16.3,16.7,,,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.4,times the body weight per year
Chelmonops truncatus,Chaetodontidae,22.0,23.2,0.84,0.2,1.1,3.4,1.3,0.9,14.1,14.1,,,,,High; decline threshold,plants/detritus+animals,2.8+/- s.e. 0.26,times the body weight per year
Chelon planiceps,Mugilidae,70.0,51.5,0.17,0.85,0.42,16.5,4.9,4,28.8,32.3,,,nonguarders: open water/substratum egg scatterers,,Medium; decline threshold,mainly plants/detritus,2,times the body weight per year
Chelonodon patoca,Tetraodontidae,38.0,39.7,0.37,0.41,,7.7,2.2,1.9,22.8,24.7,"3,978.0 g",114.2/713.8,,,High; decline threshold,mainly animals,3.1+/- s.e. 0.4,times the body weight per year
Chilomycterus reticulatus,Diodontidae,69.7 NG,72.1,,,,0,0,0,38.9,45.9,,,,,Please en,mainly animals,3.4+/- s.e. 0.41,times the body weight per year
Chiloscyllium punctatum,Hemiscylliidae,132.0,135.2,,,0.34,0,0,0,68.5,88.4,,,,,Please en,mainly animals,4.1+/- s.e. 0.64,times the body weight per year
Chimaera argiloba,Chimaeridae,91.2,93.9,0.19,0.65,0.25,15.1,4.8,3.3,49.4,60.5,,,,,Medium; decline threshold,,,times the body weight per year
Chimaera fulva,Chimaeridae,100.0,102.8,0.15,0.81,0.21,19.2,6.1,4.1,53.5,66.5,,,,,Low; decline threshold,,,times the body weight per year
Chimaera lignaria,Chimaeridae,142.0,145.2,0.13,0.86,0.17,22.2,7.3,4.5,73,95.2,,,,,Low; decline threshold,,0,times the body weight per year
Chimaera macrospina,Chimaeridae,93.9,96.7,0.17,0.72,0.24,16.9,5.4,3.7,50.7,62.3,,,,,Medium; decline threshold,,,times the body weight per year
Chirocentrus dorab,Chirocentridae,100.0,102.8,0.17,0.71,,16.9,5.4,3.6,53.5,66.5,"5,217.0 g",151.0/943.8,,,Medium; decline threshold,mainly animals,4.4+/- s.e. 0.75,times the body weight per year
Chirocentrus nudus,Chirocentridae,100.0,87.2,0.24,0.52,0.33,11.9,4.3,2.6,46.2,59.8,"6,163.0 g","179.3/1,120.6",,,Medium; decline threshold,mainly animals,4.2+/- s.e. 0.74,times the body weight per year
Chironemus georgianus,Chironemidae,20.0,21.1,,,0.9,0,0,0,12.9,12.8,,,,,Please en,,,times the body weight per year
Chironemus maculosus,Chironemidae,35.0,36.6,,,0.44,0,0,0,21.2,22.7,,,,,Please en,,,times the body weight per year
Chironemus marmoratus,Chironemidae,40.0,41.7,,,,0,0,0,23.8,26,823.0 g,22.5/140.6,,,Please en,mainly animals,3.7+/- s.e. 0.2,times the body weight per year
Chlamydogobius ranunculus,Gobiidae,3.8,4.1,1.32,0.21,,2.1,1,0.8,3,2.3,,,,,High; decline threshold,,,times the body weight per year
Chlamydoselachus anguineus,Chlamydoselachidae,200.0,203.4,,,0.12,0,0,0,98.8,135.3,,,,,Please en,mainly animals,4.2+/- s.e. 0.36,times the body weight per year
Chlopsis sagmacollaris,Chlopsidae,22.8,24,,,1.19,0,0,0,14.5,14.6,,,,,Please en,,,times the body weight per year
Chlorophthalmus agassizi,Chlorophthalmidae,40.0,18.9,0.24,0.79,0.44,11.7,3.2,3.2,11.7,11.7,49.2 g,1.2/7.5,nonguarders:,,Medium; decline threshold,mainly animals,3.7,times the body weight per year
Chlorophthalmus nigromarginatus,Chlorophthalmidae,23.0,24.2,,,,0,0,0,14.6,14.7,,,,,Please en,,,times the body weight per year
Chlorurus bleekeri,Scaridae,49.0,51,0.34,0.42,0.65,8.4,2.5,2,28.5,32,"4,452.0 g",128.2/801.2,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Chlorurus frontalis,Scaridae,50.0,52,0.34,0.42,0.65,8.4,2.5,2,29,32.7,"3,318.0 g",94.7/591.9,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Chlorurus japanensis,Scaridae,31.0,32.5,0.52,0.31,1,5.5,1.5,1.4,19,20,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Chlorurus microrhinos,Scaridae,70.0,43,0.3,0.5,0.63,9.5,2.7,2.3,24.5,26.8,"1,668.0 g",46.7/291.9,nonguarders: open water/substratum egg scatterers,,Medium; decline threshold,,0,times the body weight per year
Chlorurus oedema,Scaridae,42.0,43.8,0.4,0.37,0.76,7.1,2.1,1.7,24.9,27.3,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Chlorurus rhakoura,Scaridae,44.2,46.1,0.31,0.48,,9.2,2.7,2.2,26.1,28.8,,,,,High; decline threshold,,,times the body weight per year
Chlorurus sordidus,Scaridae,40.0,15.8,1.22,0.15,2.3,2.3,0.9,0.7,10,9.7,73.7 g,1.9/11.9,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly plants/detritus,2.6+/- s.e. 0.29,times the body weight per year
Choerodon albofasciatus,Labridae,15.2,16.1,,,,0,0,0,10.1,9.6,,,,,Please en,,,times the body weight per year
Choerodon anchorago,Labridae,50.0,52,0.18,0.81,0.4,15.9,4.7,3.7,29,32.7,"6,068.0 g","176.4/1,102.5",,,Medium; decline threshold,mainly animals,4.2+/- s.e. 0.28,times the body weight per year
Choerodon cauteroma,Labridae,36.0,37.6,0.24,0.66,0.54,11.8,3.4,2.9,21.7,23.3,,,,,Medium; decline threshold,,,times the body weight per year
Choerodon cephalotes,Labridae,38.0,39.7,0.23,0.68,0.52,12.4,3.6,3,22.8,24.7,,,,,Medium; decline threshold,mainly animals,3.4+/- s.e. 0.4,times the body weight per year
Choerodon cyanodus,Labridae,70.0,72.4,0.13,1.04,0.24,22,6.7,4.9,39.1,46.1,,,,,Low; decline threshold,mainly animals,3.6+/- s.e. 0.5,times the body weight per year
Choerodon fasciatus,Labridae,30.0,31.5,0.28,0.59,0.53,10.1,2.8,2.6,18.5,19.4,,,,,Medium; decline threshold,mainly animals,3.4+/- s.e. 0.4,times the body weight per year
Choerodon graphicus,Labridae,51.5,53.5,0.17,0.85,0.38,16.8,5,3.9,29.8,33.6,"3,652.0 g",104.6/653.8,,,Medium; decline threshold,mainly animals,4.3,times the body weight per year
Choerodon jordani,Labridae,17.0,18,0.48,0.39,1.09,5.9,2.2,1.6,11.2,10.8,,,,,High; decline threshold,plants/detritus+animals,3.5+/- s.e. 0.37,times the body weight per year
Choerodon monostigma,Labridae,25.0,26.3,0.34,0.51,0.77,8.3,2.3,2.2,15.7,16.1,,,,,High; decline threshold,,0,times the body weight per year
Choerodon rubescens,Labridae,90.0,92.7,0.1,1.27,0.19,28.7,9.1,6.2,48.8,59.7,,,,,Low; decline threshold,,,times the body weight per year
Choerodon schoenleinii,Labridae,100.0,68.1,0.26,0.51,0.5,10.9,3.3,2.5,37,43.3,,,,,Medium; decline threshold,mainly animals,3.4+/- s.e. 0.41,times the body weight per year
Choerodon sugillatum,Labridae,24.0,25.3,0.35,0.5,0.79,8.1,2.2,2.1,15.2,15.4,,,,,High; decline threshold,,,times the body weight per year
Choerodon venustus,Labridae,65.0,67.3,0.14,0.98,0.26,20.4,6.2,4.6,36.6,42.7,,,,,Low; decline threshold,,,times the body weight per year
Choerodon vitta,Labridae,20.0,21.1,0.41,0.44,0.93,6.9,2.6,1.9,12.9,12.8,,,,,High; decline threshold,,,times the body weight per year
Choerodon zamboangae,Labridae,45.0,46.9,0.19,0.79,0.43,15,4.4,3.6,26.5,29.3,,,,,Medium; decline threshold,,0,times the body weight per year
Choeroichthys brachysoma,Syngnathidae,7.0,7.5,2.38,0.09,4.45,1.2,0.5,0.4,5.1,4.3,,,,,High; decline threshold,,,times the body weight per year
Choeroichthys cinctus,Syngnathidae,8.0,8.6,1.75,0.13,,1.6,0.7,0.5,5.8,5,,,,,High; decline threshold,,,times the body weight per year
Choeroichthys sculptus,Syngnathidae,8.5,9.1,1.99,0.11,3.71,1.4,0.6,0.4,6.1,5.3,,,,,High; decline threshold,,0,times the body weight per year
Choeroichthys suillus,Syngnathidae,6.8,7.2,2.05,0.11,,1.4,0.6,0.4,4.9,4.2,,,,,High; decline threshold,,,times the body weight per year
Chrionema chlorotaenia,Percophidae,22.0,23.2,0.37,0.48,,7.6,2.8,2,14.1,14.1,,,,,High; decline threshold,,,times the body weight per year
Chromis abyssicola,Pomacentridae,12.5,13.3,0.46,0.45,,6.1,2.4,1.8,8.5,7.9,,,,,High; decline threshold,,,times the body weight per year
Chromis acares,Pomacentridae,4.0,4.3,1.32,0.2,,2.1,1,0.8,3.1,2.4,,,,,High; decline threshold,,0,times the body weight per year
Chromis agilis,Pomacentridae,7.5,8,0.74,0.31,,3.7,1.6,1.2,5.4,4.6,,,,,High; decline threshold,mainly animals,3+/- s.e. 0.24,times the body weight per year
Chromis alpha,Pomacentridae,8.5,9.1,0.66,0.34,,4.2,1.8,1.3,6.1,5.3,,,,,High; decline threshold,,0,times the body weight per year
Chromis amboinensis,Pomacentridae,10.0,10.7,0.68,0.32,1.6,4.1,1.7,1.2,7,6.3,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.31,times the body weight per year
Chromis analis,Pomacentridae,17.0,18,0.42,0.45,0.99,6.7,2.6,1.9,11.2,10.8,,,,,High; decline threshold,mainly animals,3+/- s.e. 0.1,times the body weight per year
Chromis atripectoralis,Pomacentridae,12.0,12.8,0.58,0.35,1.36,4.8,1.9,1.4,8.2,7.6,78.8 g,2.0/12.5,,,High; decline threshold,mainly animals,3.1+/- s.e. 0.14,times the body weight per year
Chromis atripes,Pomacentridae,9.0,9.6,0.75,0.29,1.77,3.7,1.6,1.2,6.4,5.6,,,,,High; decline threshold,mainly animals,2.6+/- s.e. 0.29,times the body weight per year
Chromis caudalis,Pomacentridae,7.5,8,0.74,0.31,,3.7,1.6,1.2,5.4,4.6,,,,,High; decline threshold,,0,times the body weight per year
Chromis chrysura,Pomacentridae,14.0,10,0.8,0.27,1.93,3.5,1.4,1.1,6.6,5.9,37.8 g,0.9/5.6,guarders: nesters,,High; decline threshold,mainly animals,3+/- s.e. 0.09,times the body weight per year
Chromis cinerascens,Pomacentridae,13.0,13.8,0.53,0.38,1.25,5.3,2.1,1.5,8.8,8.2,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.3,times the body weight per year
Chromis delta,Pomacentridae,7.0,7.5,0.95,0.25,2.24,2.9,1.3,0.9,5.1,4.3,,,,,High; decline threshold,,0,times the body weight per year
Chromis elerae,Pomacentridae,7.0,7.5,0.95,0.25,2.24,2.9,1.3,0.9,5.1,4.3,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.29,times the body weight per year
Chromis flavomaculata,Pomacentridae,16.0,16.9,0.44,0.44,0.86,6.4,2.5,1.8,10.6,10.1,,,,,High; decline threshold,mainly animals,3+/- s.e. 0.08,times the body weight per year
Chromis fumea,Pomacentridae,10.0,10.7,0.57,0.38,,4.9,2,1.5,7,6.3,40.5 g,1.0/6.2,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Chromis hypsilepis,Pomacentridae,16.0,16.9,0.37,0.52,,7.6,2.9,2.1,10.6,10.1,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.3,times the body weight per year
Chromis iomelas,Pomacentridae,8.0 FL,8.6,0.76,0.3,,3.6,1.6,1.2,5.8,5,21.8 g,0.5/3.1,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.3,times the body weight per year
Chromis klunzingeri,Pomacentridae,6.5,7,0.84,0.28,,3.3,1.4,1.1,4.8,4,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.3,times the body weight per year
Chromis lepidolepis,Pomacentridae,9.0,9.6,0.75,0.29,1.77,3.7,1.6,1.2,6.4,5.6,15.7 g,0.4/2.5,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.35,times the body weight per year
Chromis lineata,Pomacentridae,7.0,7.5,0.95,0.25,2.24,2.9,1.3,0.9,5.1,4.3,,,,,High; decline threshold,,0,times the body weight per year
Chromis margaritifer,Pomacentridae,9.0,9.6,0.75,0.29,1.77,3.7,1.6,1.2,6.4,5.6,,,,,High; decline threshold,mainly animals,3+/- s.e. 0.25,times the body weight per year
Chromis mirationis,Pomacentridae,11.0,11.7,0.52,0.41,,5.4,2.2,1.6,7.6,6.9,,,,,High; decline threshold,mainly animals,2.6+/- s.e. 0.29,times the body weight per year
Chromis nitida,Pomacentridae,7.0,7.5,0.79,0.3,,3.5,1.5,1.1,5.1,4.3,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.29,times the body weight per year
Chromis opercularis,Pomacentridae,17.0,18,0.42,0.45,0.99,6.7,2.6,1.9,11.2,10.8,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.31,times the body weight per year
Chromis retrofasciata,Pomacentridae,6.0,6.5,0.91,0.27,,3,1.3,1,4.5,3.7,1.6 g,0.0/0.0,,,High; decline threshold,mainly animals,2.6+/- s.e. 0.29,times the body weight per year
Chromis ternatensis,Pomacentridae,10.5,11.2,0.65,0.33,1.62,4.3,1.7,1.3,7.3,6.6,60.2 g,1.5/9.4,guarders: nesters,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Chromis vanderbilti,Pomacentridae,6.0,6.5,1.09,0.22,2.58,2.5,1.1,0.9,4.5,3.7,,,,,High; decline threshold,mainly animals,3.2+/- s.e. 0.17,times the body weight per year
Chromis viridis,Pomacentridae,10.0,10.7,0.68,0.32,1.68,4.1,1.7,1.2,7,6.3,18.0 g,0.4/2.5,guarders: nesters,,High; decline threshold,mainly plants/detritus,2.9+/- s.e. 0.11,times the body weight per year
Chromis weberi,Pomacentridae,13.5,14.3,0.52,0.38,1.22,5.4,2.1,1.6,9.1,8.5,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Chromis westaustralis,Pomacentridae,8.5,9.1,0.66,0.34,,4.2,1.8,1.3,6.1,5.3,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.3,times the body weight per year
Chromis xanthochira,Pomacentridae,14.0,14.9,0.5,0.4,1.18,5.6,2.2,1.6,9.4,8.9,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.31,times the body weight per year
Chromis xanthura,Pomacentridae,17.0,18,0.42,0.45,0.99,6.7,2.6,1.9,11.2,10.8,27.2 g,0.7/4.4,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Chrysiptera biocellata,Pomacentridae,12.5,13.3,0.74,0.27,1.7,3.8,1.5,1.1,8.5,7.9,,,guarders: nesters,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Chrysiptera brownriggii,Pomacentridae,8.0,8.6,0.84,0.27,1.98,3.3,1.4,1.1,5.8,5,,,,,High; decline threshold,plants/detritus+animals,2.7+/- s.e. 0.33,times the body weight per year
Chrysiptera caeruleolineata,Pomacentridae,6.0,6.5,1.09,0.22,2.58,2.5,1.1,0.9,4.5,3.7,,,,,High; decline threshold,mainly animals,2.8+/- s.e. 0.18,times the body weight per year
Chrysiptera cyanea,Pomacentridae,8.5,9.1,0.79,0.28,1.87,3.5,1.5,1.1,6.1,5.3,,,,,High; decline threshold,plants/detritus+animals,2.4+/- s.e. 0.14,times the body weight per year
Chrysiptera flavipinnis,Pomacentridae,8.0,8.6,0.84,0.27,1.98,3.3,1.4,1.1,5.8,5,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.3,times the body weight per year
Chrysiptera glauca,Pomacentridae,11.5,11.5,0.8,0.26,1.86,3.5,1.4,1.1,7.5,6.8,,,guarders: nesters,,High; decline threshold,plants/detritus+animals,2.4+/- s.e. 0.32,times the body weight per year
Chrysiptera hemicyanea,Pomacentridae,7.0,7.5,0.95,0.25,2.24,2.9,1.3,0.9,5.1,4.3,,,,,High; decline threshold,plants/detritus+animals,2.4+/- s.e. 0.23,times the body weight per year
Chrysiptera notialis,Pomacentridae,9.0,9.6,0.75,0.29,1.47,3.7,1.6,1.2,6.4,5.6,,,,,High; decline threshold,,,times the body weight per year
Chrysiptera rex,Pomacentridae,7.0,7.5,0.95,0.25,2.24,2.9,1.3,0.9,5.1,4.3,,,,,High; decline threshold,mainly plants/detritus,2.5+/- s.e. 0.22,times the body weight per year
Chrysiptera rollandi,Pomacentridae,7.5,8,0.89,0.26,2.1,3.1,1.3,1,5.4,4.6,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.3,times the body weight per year
Chrysiptera starcki,Pomacentridae,7.0,7.5,0.79,0.3,,3.5,1.5,1.1,5.1,4.3,,,,,High; decline threshold,mainly animals,2.8+/- s.e. 0.32,times the body weight per year
Chrysiptera talboti,Pomacentridae,6.0,6.5,1.09,0.22,2.58,2.5,1.1,0.9,4.5,3.7,,,,,High; decline threshold,mainly animals,2.8+/- s.e. 0.33,times the body weight per year
Chrysiptera taupou,Pomacentridae,8.0,8.6,0.84,0.27,1.98,3.3,1.4,1.1,5.8,5,14.0 g,0.3/1.9,,,High; decline threshold,mainly animals,2.6+/- s.e. 0.29,times the body weight per year
Chrysiptera tricincta,Pomacentridae,6.0,6.5,1.09,0.22,2.58,2.5,1.1,0.9,4.5,3.7,,,,,High; decline threshold,mainly animals,2.7+/- s.e. 0.31,times the body weight per year
Chrysiptera unimaculata,Pomacentridae,10.0,10.7,0.68,0.32,1.6,4.1,1.7,1.2,7,6.3,,,,,High; decline threshold,mainly plants/detritus,2.1+/- s.e. 0.24,times the body weight per year
Cinetodus froggatti,Ariidae,48.0,49.9,0.17,0.87,,16.8,4.9,4,28,31.3,,,,,Medium; decline threshold,mainly animals,3.2+/- s.e. 0.44,times the body weight per year
Cirrhigaleus barbifer,Squalidae,126.0,129.1,0.06,1.97,0.1,48,15.7,9.9,65.7,84.3,,,,,Low; decline threshold,mainly animals,4+/- s.e. 0.61,times the body weight per year
Cirrhilabrus bathyphilus,Labridae,7.6,8.1,0.84,0.27,,3.3,1.4,1.1,5.5,4.7,,,,,High; decline threshold,,,times the body weight per year
Cirrhilabrus condei,Labridae,8.0,8.6,0.96,0.23,2.19,2.9,1.2,0.9,5.8,5,,,,,High; decline threshold,,,times the body weight per year
Cirrhilabrus cyanopleura,Labridae,15.0,15.9,0.45,0.43,,6.2,2.4,1.8,10,9.5,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Cirrhilabrus exquisitus,Labridae,12.0,12.8,0.55,0.37,,5.1,2,1.5,8.2,7.6,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Cirrhilabrus hygroxerus,Labridae,5.6,6,1.11,0.22,,2.5,1.1,0.9,4.2,3.4,,,,,High; decline threshold,,0,times the body weight per year
Cirrhilabrus laboutei,Labridae,12.0,12.8,0.66,0.31,1.5,4.2,1.7,1.2,8.2,7.6,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Cirrhilabrus lineatus,Labridae,12.0,12.8,0.66,0.31,1.5,4.2,1.7,1.2,8.2,7.6,,,,,High; decline threshold,,,times the body weight per year
Cirrhilabrus morrisoni,Labridae,5.5,5.9,1.13,0.22,,2.4,1.1,0.8,4.1,3.4,,,,,High; decline threshold,,,times the body weight per year
Cirrhilabrus punctatus,Labridae,13.0,13.8,0.61,0.33,1.39,4.6,1.8,1.3,8.8,8.2,,,,,High; decline threshold,,,times the body weight per year
Cirrhilabrus randalli,Labridae,8.4,9,0.76,0.29,,3.7,1.5,1.2,6,5.3,,,,,High; decline threshold,,,times the body weight per year
Cirrhilabrus scottorum,Labridae,13.0,13.8,0.61,0.33,1.39,4.6,1.8,1.3,8.8,8.2,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Cirrhilabrus temminckii,Labridae,9.9,10.6,0.66,0.33,,4.2,1.7,1.3,7,6.2,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Cirrhitichthys aprinus,Cirrhitidae,12.5,13.3,,,1.82,0,0,0,8.5,7.9,,,,,Please en,mainly animals,3.5+/- s.e. 0.55,times the body weight per year
Cirrhitichthys falco,Cirrhitidae,7.0,7.5,,,2.74,0,0,0,5.1,4.3,7.7 g,0.2/1.2,,,Please en,mainly animals,4+/- s.e. 0.65,times the body weight per year
Cirrhitichthys oxycephalus,Cirrhitidae,10.0,10.7,,,2.12,0,0,0,7,6.3,22.3 g,0.5/3.1,,,Please en,mainly animals,4+/- s.e. 0.66,times the body weight per year
Cirrhitus pinnulatus,Cirrhitidae,30.0,31.5,,,0.98,0,0,0,18.5,19.4,,,,,Please en,mainly animals,3.7+/- s.e. 0.33,times the body weight per year
Cirripectes alboapicalis,Blenniidae,15.5 NG,16.4,0.62,0.31,,4.5,1.7,1.3,10.3,9.8,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Cirripectes alleni,Blenniidae,6.5,7,1.02,0.23,2,2.7,1.2,0.9,4.8,4,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Cirripectes castaneus,Blenniidae,9.2,9.8,0.61,0.36,,4.6,1.9,1.4,6.5,5.7,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Cirripectes chelomatus,Blenniidae,9.4,10,0.6,0.37,,4.6,1.9,1.4,6.6,5.9,18.5 g,0.5/3.1,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Cirripectes filamentosus,Blenniidae,7.5,8,0.74,0.31,,3.7,1.6,1.2,5.4,4.6,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Cirripectes hutchinsi,Blenniidae,10.6,11.3,0.54,0.39,,5.2,2.1,1.6,7.4,6.7,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Cirripectes polyzona,Blenniidae,13.0,13.8,0.53,0.38,1.25,5.3,2.1,1.5,8.8,8.2,,,,,High; decline threshold,plants/detritus+animals,2.8+/- s.e. 0.38,times the body weight per year
Cirripectes quagga,Blenniidae,10.0,10.7,0.68,0.32,1.6,4.1,1.7,1.2,7,6.3,,,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Cirripectes stigmaticus,Blenniidae,10.0,10.7,0.57,0.38,,4.9,2,1.5,7,6.3,20.8 g,0.5/3.1,,,High; decline threshold,mainly plants/detritus,2,times the body weight per year
Cleidopus gloriamaris,Monocentridae,22.0,23.2,0.11,1.69,,25.6,9.4,6.8,14.1,14.1,,,,,Low; decline threshold,,,times the body weight per year
Cnidoglanis macrocephalus,Plotosidae,91.0,91.7,0.2,0.62,0.27,14.4,5.2,3.1,48.3,63.2,,,guarders: nesters,"1,323.00",Medium; decline threshold,mainly animals,2.8+/- s.e. 0.32,times the body weight per year
Coccorella atlantica,Evermannellidae,18.5,19.5,,,,0,0,0,12,11.8,73.1 g,1.9/11.9,,,Please en,mainly animals,4.4+/- s.e. 0.57,times the body weight per year
Cochlefelis insidiator,Ariidae,35.0,36.6,0.23,0.69,,12.4,3.5,3.1,21.2,22.7,,,,,Medium; decline threshold,,,times the body weight per year
Cochleoceps bicolor,Gobiesocidae,7.0,7.5,0.34,0.71,0.87,8.1,3.5,2.6,5.1,4.3,,,,,High; decline threshold,mainly animals,0,times the body weight per year
Cochleoceps orientalis,Gobiesocidae,5.5,5.9,0.43,0.6,1.1,6.4,2.8,2.2,4.1,3.4,,,,,High; decline threshold,,,times the body weight per year
Cochleoceps viridis,Gobiesocidae,5.0,5.4,0.47,0.56,1.2,5.8,2.6,2,3.8,3.1,,,,,High; decline threshold,,,times the body weight per year
Cociella crocodilus,Platycephalidae,50.0,52,0.27,0.53,0.55,10.6,3.1,2.5,29,32.7,830.0 g,22.7/141.9,,,Medium; decline threshold,mainly animals,3.9+/- s.e. 0.6,times the body weight per year
Cociella hutchinsi,Platycephalidae,30.0,31.5,0.43,0.38,0.87,6.6,1.8,1.7,18.5,19.4,,,,,High; decline threshold,,,times the body weight per year
Cocotropus altipinnis,Aploactinidae,3.2,3.4,,,,0,0,0,2.5,1.9,,,,,Please en,,,times the body weight per year
